days,date,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained
3d,3/03/19,Resident Evil 2,"27,483,420",1106940,23840,398,5827,6361,256,24.83,7339,571167
3d,3/03/19,Tekken 7,"25,549,140",398640,22975,158,2370,5914,92,64.09,6416,563281
3d,3/03/19,Super Smash Bros. Ultimate,"25,213,560",765720,16948,439,3593,5836,177,32.93,13154,392695
3d,3/03/19,Art,"24,630,120",1586700,13216,528,7044,5701,367,15.52,14192,592175
3d,3/03/19,Games + Demos,"23,795,640",257820,22592,96,1407,5508,59,92.3,2136,473134
3d,3/03/19,Subnautica,"23,774,340",282960,26474,121,1327,5503,65,84.02,2635,297677
3d,3/03/19,Trials Rising,"23,172,120",272160,32624,106,1344,5363,63,85.14,3094,343698
3d,3/03/19,Slots,"22,868,100",236880,21233,94,567,5293,54,96.54,4628,217142
3d,3/03/19,Pogostuck: Rage With Your Friends,"22,240,080",41820,42932,34,222,5148,9,531.8,2248,306397
3d,3/03/19,Poker,"22,092,180",361140,11797,136,971,5113,83,61.17,5818,479155
3d,3/03/19,World of Tanks,"20,951,520",792780,15455,360,2727,4849,183,26.43,4534,586335
3d,3/03/19,Path of Exile,"20,151,000",367500,9166,130,1175,4664,85,54.83,3024,375533
3d,3/03/19,Talk Shows & Podcasts,"19,575,420",441180,17249,171,2554,4531,102,44.37,5675,599255
3d,3/03/19,Dungeons & Dragons,"19,186,740",247920,55583,191,1079,4441,57,77.39,3803,307922
3d,3/03/19,Black Desert Online,"18,844,800",813420,7493,254,2362,4362,188,23.17,5276,451251
3d,3/03/19,Rocket League,"17,246,100",1627740,20127,652,12858,3992,376,10.6,12370,351921
3d,3/03/19,Dead or Alive 6,"16,333,380",249540,23319,139,1262,3780,57,65.45,2325,322504
3d,3/03/19,Destiny 2,"16,160,640",1424940,11159,600,6053,3740,329,11.34,6436,325071
3d,3/03/19,ASMR,"14,829,540",220020,10028,70,306,3432,50,67.4,4381,179745
3d,3/03/19,Escape From Tarkov,"14,781,000",894420,7240,334,2792,3421,207,16.53,5018,277713
3d,3/03/19,Dark Souls III,"13,072,080",602580,17389,208,2720,3025,139,21.69,2774,344502
3d,3/03/19,NBA 2K19,"12,635,400",1346460,8173,708,7212,2924,311,9.38,9822,115454
3d,3/03/19,Smite,"12,478,380",752820,5891,317,3292,2888,174,16.58,3640,174344
3d,3/03/19,Sid Meier's Civilization VI,"11,947,320",197460,9876,79,725,2765,45,60.51,1141,252995
3d,3/03/19,A Dance of Fire and Ice,"11,832,720",92220,19067,62,807,2739,21,128.31,2378,199235
3d,3/04/19,Fortnite,"759,000,000",57689700,424746,22269,242990,175787,13354,13.16,652455,12949696
3d,3/04/19,League of Legends,"650,000,000",11740740,307092,3633,45329,150488,2717,55.37,171127,13633530
3d,3/04/19,Counter-Strike: Global Offensive,"625,000,000",5221800,833440,2047,28147,144697,1208,119.71,185199,13859428
3d,3/04/19,Apex Legends,"518,000,000",30068160,205123,9584,135736,119942,6960,17.23,195676,9820058
3d,3/04/19,Just Chatting,"383,000,000",5222100,211835,1656,31894,88717,1208,73.39,185753,11041991
3d,3/04/19,Overwatch,"320,000,000",5314680,195771,1715,26078,74095,1230,60.23,50853,4494090
3d,3/04/19,Dota 2,"279,000,000",3602820,116041,1387,12166,64596,833,77.46,48297,5310473
3d,3/04/19,Hearthstone,"153,000,000",778380,79114,258,3559,35396,180,196.45,18464,3084013
3d,3/04/19,PLAYERUNKNOWN'S BATTLEGROUNDS,"105,000,000",4891320,49424,1503,17806,24254,1132,21.42,57991,2724043
3d,3/04/19,StarCraft II,"98,595,720",427080,69828,150,1643,22823,98,230.86,17383,2791292
3d,3/04/19,Grand Theft Auto V,"93,009,360",2563920,61050,1131,10637,21529,593,36.28,43804,1698685
