days,date,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained
14d,3/25/19,Games + Demos,60088500,1084380,32907,106,3782,2980,53,55.41,7226,1234584
14d,3/25/19,NBA 2K19,57217680,6367320,10982,637,20460,2838,315,8.99,47036,484817
14d,3/25/19,The Elder Scrolls Online,54486780,1925400,16227,171,3721,2702,95,28.3,10204,1399936
14d,3/25/19,Dungeons & Dragons,53019540,1159020,60261,212,2984,2629,57,45.75,9402,1129115
14d,3/25/19,Warframe,52877160,3811920,47990,323,8199,2622,189,13.87,22881,670080
14d,3/25/19,Smite,52248540,3403260,12159,316,8288,2591,168,15.35,16692,693537
14d,3/25/19,Dark Souls III,51801180,2623380,20700,229,7836,2569,130,19.75,11100,839944
14d,3/26/19,League of Legends,2890179780,53011920,369522,3857,106594,143362,2629,54.52,814641,59138056
14d,3/26/19,Fortnite,2587082100,219371880,311847,22697,541700,128327,10881,11.79,2528945,43247672
14d,3/26/19,Grand Theft Auto V,2219698080,15199260,304053,1583,37895,110104,753,146.04,1025005,32147761
14d,3/26/19,Just Chatting,1542794220,23740440,197778,1781,81794,76527,1177,64.99,1102024,42531660
14d,3/26/19,Dota 2,1515712380,14700600,357971,1435,28592,75184,729,103.11,268272,31935759
14d,3/26/19,Apex Legends,1392145920,95334600,303666,10439,245692,69054,4728,14.6,672004,27357886
14d,3/26/19,Sekiro: Shadows Die Twice,979305300,15338400,279037,4679,52767,48576,760,63.85,135207,20906829
14d,3/26/19,Counter-Strike: Global Offensive,829058460,24873960,291062,2509,78943,41123,1233,33.33,459443,28173122
14d,3/26/19,Overwatch,647664840,21329760,259090,1726,62633,32126,1058,30.36,192057,11727657
14d,3/26/19,Tom Clancy's The Division 2,619053300,31400580,139221,3544,69003,30707,1557,19.71,130149,15242747
14d,3/26/19,PLAYERUNKNOWN'S BATTLEGROUNDS,549073980,21766260,93332,1681,42720,27235,1079,25.23,323848,14762881
14d,3/26/19,Hearthstone,413558520,3520920,107496,268,9019,20513,174,117.46,69381,7400472
14d,3/26/19,World of Warcraft,354779340,19328820,48482,2499,31825,17598,958,18.35,95235,9438324
14d,3/26/19,Path of Exile,352225440,8342940,41150,794,10949,17471,413,42.22,45144,5259188
14d,3/26/19,FIFA 19,316333380,7024920,284352,884,24994,15691,348,45.03,167202,3974465
14d,3/26/19,Call of Duty: Black Ops 4,247727580,21190800,107439,1950,52813,12288,1051,11.69,116934,3435786
14d,3/26/19,Auto Chess,239652720,2276280,65070,288,5367,11887,112,105.28,36985,4219326
14d,3/26/19,Tom Clancy's Rainbow Six: Siege,236593440,21116280,33337,1884,70783,11735,1047,11.2,169295,5101511
14d,3/26/19,Dead by Daylight,229700820,11106960,34871,1042,25475,11393,550,20.68,72165,3315067
14d,3/26/19,Old School RuneScape,180921120,3255060,20422,268,6302,8974,161,55.58,63313,2310159
14d,3/26/19,Music & Performing Arts,157601700,6524040,20933,448,8748,7817,323,24.16,154384,3011541
14d,3/26/19,Minecraft,140505780,10371240,24769,1013,33394,6969,514,13.55,191965,2731704
14d,3/26/19,Talk Shows & Podcasts,140276940,2009040,35985,271,7828,6958,99,69.82,60033,6754883
14d,3/26/19,Magic: The Gathering,137282640,2072520,23796,178,4745,6809,102,66.24,27992,2803620
14d,3/26/19,Special Events,135511920,402840,20501,73,1330,6721,19,336.39,32599,11273838
14d,3/26/19,StarCraft II,130986540,1885260,39476,157,4000,6497,93,69.48,23665,3365433
14d,3/26/19,Slots,126720900,1024560,27592,96,1568,6285,50,123.68,12450,1073841
14d,3/26/19,Poker,124712580,1730700,26349,203,2245,6186,85,72.06,34949,2789229
14d,3/26/19,Satisfactory,118445880,4025280,59800,1348,8589,5875,199,29.43,24853,2180380
14d,3/26/19,Art,116302260,7490100,16904,586,17918,5768,371,15.53,81917,2261418
14d,3/26/19,Super Smash Bros. Ultimate,102183780,3079500,34732,359,8045,5068,152,33.18,46781,1664551
14d,3/26/19,Rocket League,97889460,6956040,29451,640,34766,4855,345,14.07,61216,1873077
14d,3/26/19,Destiny 2,95654220,8998980,18902,1150,19800,4744,446,10.63,36683,1283473
14d,3/26/19,Devil May Cry 5,87953820,6123480,20894,970,20610,4362,303,14.36,16786,1867565
14d,3/26/19,Battlefield V,85837500,2939580,144098,1739,18180,4257,145,29.2,25152,2379279
14d,3/26/19,Sea of Thieves,85154220,5003520,43898,628,10712,4223,248,17.02,41992,1479196
14d,3/26/19,FINAL FANTASY XIV Online,84289200,4094160,132239,522,7669,4181,203,20.59,25865,1909738
14d,3/26/19,World of Tanks,80918880,3228660,20075,355,5863,4013,160,25.06,17437,1760630
14d,3/26/19,Street Fighter V,79718520,828360,55515,80,2127,3954,41,96.24,9729,2531319
14d,3/26/19,ASMR,76700820,1039320,8833,73,852,3804,51,73.8,23030,906596
14d,3/26/19,Warcraft III: The Frozen Throne,74990040,1156080,34354,101,1689,3719,57,64.87,7833,1207238
14d,3/26/19,Black Desert Online,72910200,3675480,6876,264,5820,3616,182,19.84,22207,1579048
14d,3/26/19,Escape From Tarkov,69547320,4200660,10675,388,6373,3449,208,16.56,24289,1407077
14d,3/26/19,Rust,66515400,2888700,34709,268,6456,3299,143,23.03,31825,1133746
14d,3/26/19,Games + Demos,59596140,1089300,32907,106,3790,2956,54,54.71,7223,1237319
14d,3/26/19,NBA 2K19,56536920,6346440,10982,637,20460,2804,314,8.91,47282,488719
14d,3/26/19,Dungeons & Dragons,53227200,1160580,60261,212,2965,2640,57,45.86,9348,1147388
14d,3/26/19,The Elder Scrolls Online,52280400,1936260,16227,171,3748,2593,96,27,10503,1335199
14d,3/26/19,Smite,51996780,3398220,12159,316,8317,2579,168,15.3,17165,688659
14d,3/26/19,Warframe,51158040,3783240,47990,323,8168,2537,187,13.52,22353,652509
14d,3/27/19,League of Legends,2883356040,52988640,369522,3857,106528,143023,2628,54.41,810364,59163781
14d,3/27/19,Fortnite,2571032700,218521980,311847,22697,541279,127531,10839,11.77,2520393,43060306
14d,3/27/19,Grand Theft Auto V,2287664340,15558120,304053,1583,38483,113475,771,147.04,1051047,33092915
14d,3/27/19,Just Chatting,1536692040,23798640,197778,1781,81685,76224,1180,64.57,1052790,42854523
14d,3/27/19,Dota 2,1481824140,14468520,357971,1435,28373,73503,717,102.42,264023,31476227
14d,3/27/19,Apex Legends,1388281920,93697800,303666,10439,241947,68863,4647,14.82,669123,27981673
14d,3/27/19,Sekiro: Shadows Die Twice,1106149800,18009780,279037,4679,58008,54868,893,61.42,162087,23750493
14d,3/27/19,Counter-Strike: Global Offensive,800947860,24930180,291062,2509,79221,39729,1236,32.13,450481,26957460
14d,3/27/19,Overwatch,647705820,21241380,259090,1726,62441,32128,1053,30.49,197642,11926620
14d,3/27/19,Tom Clancy's The Division 2,553674120,30703200,139221,3544,67842,27463,1522,18.03,117173,13712522
14d,3/27/19,PLAYERUNKNOWN'S BATTLEGROUNDS,543024180,21734220,93332,1681,42678,26935,1078,24.98,318176,14800037
14d,3/27/19,Hearthstone,409456320,3539880,107496,273,9081,20310,175,115.67,69537,7255206
14d,3/27/19,World of Warcraft,352071000,19341600,48482,2499,31818,17463,959,18.2,93780,9553764
14d,3/27/19,Path of Exile,326028960,8018940,34682,696,11163,16172,397,40.66,42637,4916853
14d,3/27/19,FIFA 19,318936960,7057140,284352,884,25091,15820,350,45.19,169397,4043297
14d,3/27/19,Auto Chess,264129720,2556780,65070,288,5786,13101,126,103.31,40396,4571945
14d,3/27/19,Call of Duty: Black Ops 4,262796100,21110400,107439,1950,52881,13035,1047,12.45,117514,3610613
14d,3/27/19,Tom Clancy's Rainbow Six: Siege,232665480,20910540,33337,1884,70389,11540,1037,11.13,166757,5184631
14d,3/27/19,Dead by Daylight,229029240,11084760,34871,1042,25528,11360,549,20.66,72679,3416809
14d,3/27/19,Old School RuneScape,179154480,3252060,23573,268,6240,8886,161,55.09,63659,2491441
14d,3/27/19,Music & Performing Arts,156239400,6517200,20933,448,8805,7749,323,23.97,153410,3087748
14d,3/27/19,Minecraft,139815360,10363320,24769,1013,33399,6935,514,13.49,196248,2740104
14d,3/27/19,Battlefield V,139023120,3819240,144098,1739,23062,6895,189,36.4,40697,3381499
14d,3/27/19,Talk Shows & Podcasts,137900640,2013720,34018,271,7829,6840,99,68.48,59445,6826232
14d,3/27/19,Special Events,137405340,421860,20501,73,1335,6815,20,325.71,33033,11367390
14d,3/27/19,Magic: The Gathering,134342160,2054940,23796,178,4726,6663,101,65.38,27488,2781333
14d,3/27/19,StarCraft II,130451820,1877040,39476,157,3980,6470,93,69.5,23034,3414989
14d,3/27/19,Satisfactory,127757460,4353840,59800,1348,9052,6337,215,29.34,28435,2365628
14d,3/27/19,Poker,127616460,1725240,26349,203,2248,6330,85,73.97,35956,2835834
14d,3/27/19,Slots,126417060,1016640,27592,96,1574,6270,50,124.35,13090,1071262
14d,3/27/19,Art,115482540,7475280,16904,593,17960,5728,370,15.45,80865,2256582
14d,3/27/19,Super Smash Bros. Ultimate,103239600,3057900,34732,359,8008,5121,151,33.76,47368,1689511
14d,3/27/19,Rocket League,93881760,6925380,29451,640,34720,4656,343,13.56,59311,2010664
14d,3/27/19,Destiny 2,91569480,8770980,14549,1068,19538,4542,435,10.44,35026,1235378
14d,3/27/19,Sea of Thieves,86326560,4892220,43898,628,10575,4282,242,17.65,42715,1462516
14d,3/27/19,FINAL FANTASY XIV Online,84635280,4070340,132239,522,7765,4198,201,20.79,25633,1916024
14d,3/27/19,World of Tanks,81333060,3175980,20075,355,5850,4034,157,25.61,17730,1752354
14d,3/27/19,Street Fighter V,79433280,818580,55515,83,2137,3940,40,97.04,9647,2528185
14d,3/27/19,ASMR,76573320,1043160,8833,73,833,3798,51,73.41,23038,897155
14d,3/27/19,Warcraft III: The Frozen Throne,74514720,1152840,34354,101,1692,3696,57,64.64,7922,1233254
14d,3/27/19,Black Desert Online,72384240,3656040,6876,264,5785,3590,181,19.8,22056,1574349
14d,3/27/19,Devil May Cry 5,72358740,5347920,19370,746,18745,3589,265,13.53,12290,1397931
14d,3/27/19,Escape From Tarkov,68895360,4162140,10675,388,6319,3417,206,16.55,23805,1399992
14d,3/27/19,Rust,65199780,2862180,34709,268,6453,3234,141,22.78,31682,1131453
14d,3/27/19,Games + Demos,59234880,1086360,32907,106,3768,2938,53,54.53,7320,1291705
14d,3/27/19,NBA 2K19,55785240,6335040,8559,686,20448,2767,314,8.81,47377,487335
14d,3/27/19,The Elder Scrolls Online,52840740,1958940,16227,177,3801,2621,97,26.97,11139,1287554
14d,3/27/19,Dungeons & Dragons,52655640,1163760,60261,212,2960,2611,57,45.25,9109,1192933
14d,3/27/19,Smite,51568500,3412560,12159,316,8361,2557,169,15.11,17189,691540
14d,3/27/19,Warframe,50908380,3767220,47990,323,8079,2525,186,13.51,22207,655176
14d,3/28/19,League of Legends,2900751180,53031540,369522,3857,106453,143886,2630,54.7,834628,59800771
14d,3/28/19,Fortnite,2570926380,218109540,311847,22697,539260,127526,10818,11.79,2524927,42774717
14d,3/28/19,Grand Theft Auto V,2339213220,15957480,304053,1583,39050,116032,791,146.59,1087245,33488350
14d,3/28/19,Just Chatting,1537603740,23876580,197778,1781,81889,76270,1184,64.4,1054292,42496380
14d,3/28/19,Dota 2,1432110780,14265540,357971,1435,28091,71037,707,100.39,257083,29795676
14d,3/28/19,Apex Legends,1371517020,92401620,303666,10439,239135,68031,4583,14.84,663575,27602095
14d,3/28/19,Sekiro: Shadows Die Twice,1208785200,20416980,279037,4679,62218,59959,1012,59.2,179280,26029359
14d,3/28/19,Counter-Strike: Global Offensive,777064140,25003080,291062,2509,79338,38544,1240,31.08,446672,26190763
14d,3/28/19,Overwatch,647850780,21185700,259090,1726,62070,32135,1050,30.58,206136,11945136
14d,3/28/19,PLAYERUNKNOWN'S BATTLEGROUNDS,537577380,21858960,93332,1681,42771,26665,1084,24.59,315230,14542531
14d,3/28/19,Tom Clancy's The Division 2,500960280,30138180,139221,3544,67005,24849,1494,16.62,109853,12592116
14d,3/28/19,Hearthstone,409550760,3548100,107496,273,9099,20315,175,115.43,70448,7300502
14d,3/28/19,World of Warcraft,350434920,19307880,48482,2499,31648,17382,957,18.15,92872,9507977
14d,3/28/19,FIFA 19,320909820,7084020,284352,884,25252,15918,351,45.3,170437,4022829
14d,3/28/19,Path of Exile,306077160,7782300,28005,671,11343,15182,386,39.33,41464,4609882
14d,3/28/19,Auto Chess,290883660,2843700,65070,288,6173,14428,141,102.29,47659,4955174
14d,3/28/19,Call of Duty: Black Ops 4,282181620,21189360,107439,1950,53178,13997,1051,13.32,121392,3720649
14d,3/28/19,Tom Clancy's Rainbow Six: Siege,231185940,20745960,33337,1884,70154,11467,1029,11.14,165676,5256772
14d,3/28/19,Dead by Daylight,230125680,11055120,34871,1042,25597,11414,548,20.82,75740,3412871
14d,3/28/19,Old School RuneScape,178805580,3257100,23573,268,6237,8869,161,54.9,65844,2485749
14d,3/28/19,Battlefield V,160729920,4420560,144098,1739,25662,7972,219,36.36,46654,4011045
14d,3/28/19,Music & Performing Arts,156168360,6526320,20933,448,8789,7746,323,23.93,156165,2996234
14d,3/28/19,Special Events,136911540,437100,20501,73,1343,6791,21,313.23,33150,11398826
14d,3/28/19,Minecraft,135836040,10374180,24769,1013,33370,6737,514,13.09,197486,2701151
14d,3/28/19,Talk Shows & Podcasts,134881500,2009280,38882,271,7799,6690,99,67.13,59178,6849448
14d,3/28/19,Satisfactory,134685480,4663680,59800,1348,9468,6680,231,28.88,23572,2475261
14d,3/28/19,Magic: The Gathering,131203620,2042160,23796,178,4716,6508,101,64.25,26816,2712881
14d,3/28/19,Poker,130740000,1722540,26349,203,2253,6485,85,75.9,36346,2877398
14d,3/28/19,StarCraft II,127997100,1867620,39476,157,3984,6349,92,68.53,22435,3326505
14d,3/28/19,Slots,120029220,1008840,27592,96,1572,5953,50,118.98,13894,1033585
14d,3/28/19,Art,117448560,7486140,16904,593,17999,5825,371,15.69,81705,2314043
14d,3/28/19,Super Smash Bros. Ultimate,102566100,3033480,34732,359,7927,5087,150,33.81,47737,1671056
14d,3/28/19,Rocket League,92508180,6888180,29451,640,34605,4588,341,13.43,58608,1966449
14d,3/28/19,Destiny 2,88209540,8558100,14549,836,19246,4375,424,10.31,34639,1171491
14d,3/28/19,FINAL FANTASY XIV Online,85052640,4089360,132239,522,7819,4218,202,20.8,25635,1913461
14d,3/28/19,Sea of Thieves,83306040,4783920,43898,628,10481,4132,237,17.41,41741,1358327
14d,3/28/19,World of Tanks,81443100,3124440,20075,343,5819,4039,154,26.07,17508,1740627
14d,3/28/19,Street Fighter V,79477200,816660,55515,83,2148,3942,40,97.32,9735,2537285
14d,3/28/19,ASMR,77029920,1052520,8833,73,842,3820,52,73.19,23272,889653
14d,3/28/19,Warcraft III: The Frozen Throne,73281060,1157100,34354,101,1694,3634,57,63.33,7939,1280927
14d,3/28/19,Black Desert Online,71584020,3649980,6876,264,5783,3550,181,19.61,21971,1565016
14d,3/28/19,Escape From Tarkov,69421800,4112700,13372,388,6250,3443,204,16.88,24112,1261593
14d,3/28/19,Rust,64222140,2851380,34709,268,6435,3185,141,22.52,31137,1113461
14d,3/28/19,Devil May Cry 5,58452120,4748040,19370,621,17130,2899,235,12.31,10332,1199090
14d,3/28/19,NBA 2K19,55170360,6343500,8559,686,20517,2736,314,8.7,47319,476609
14d,3/28/19,Games + Demos,52911780,1080960,21962,106,3781,2624,53,48.95,6670,1204813
14d,3/28/19,Dungeons & Dragons,52462260,1168140,60261,212,2963,2602,57,44.91,9162,1186514
14d,3/28/19,Smite,50986740,3416760,12159,316,8363,2529,169,14.92,17465,686040
14d,3/28/19,Warframe,50746140,3760620,47990,323,8033,2517,186,13.49,24280,656738
14d,3/28/19,Tibia,50539380,1952820,9958,165,2595,2506,96,25.88,30768,1639820
14d,3/29/19,League of Legends,2854639500,53082480,369522,3857,106283,141599,2633,53.78,828604,59035686
14d,3/29/19,Fortnite,2556596940,218667840,311847,22697,539308,126815,10846,11.69,2522163,42792166
14d,3/29/19,Grand Theft Auto V,2364261720,16243920,304053,1583,39471,117274,805,145.55,1083592,33579832
14d,3/29/19,Just Chatting,1531603860,23914680,197778,1781,82192,75972,1186,64.04,1041926,42316801
14d,3/29/19,Dota 2,1400221740,14069880,357971,1435,27740,69455,697,99.52,246259,29422629
14d,3/29/19,Apex Legends,1357623840,91080840,303666,10439,235699,67342,4517,14.91,654609,27800402
14d,3/29/19,Sekiro: Shadows Die Twice,1305079320,22552980,279037,4679,65731,64736,1118,57.87,193455,27847692
14d,3/29/19,Counter-Strike: Global Offensive,750814500,24967260,291062,2509,79352,37242,1238,30.07,437896,25459324
14d,3/29/19,Overwatch,650651880,21080100,259090,1726,61789,32274,1045,30.87,205329,11961043
14d,3/29/19,PLAYERUNKNOWN'S BATTLEGROUNDS,549606960,21858180,93332,1681,42733,27262,1084,25.14,315361,14871622
14d,3/29/19,Tom Clancy's The Division 2,466372800,29716740,139221,3544,66514,23133,1474,15.69,103456,11810492
14d,3/29/19,Hearthstone,413997420,3562260,107496,273,9103,20535,176,116.22,71042,7334264
14d,3/29/19,World of Warcraft,346282140,19274160,48482,2499,31558,17176,956,17.97,91683,9434368
14d,3/29/19,FIFA 19,339701280,7109400,284352,884,25260,16850,352,47.78,173764,7193806
14d,3/29/19,Auto Chess,312728760,3130200,65070,288,6574,15512,155,99.91,50775,5265585
14d,3/29/19,Path of Exile,289910400,7588980,28005,650,11366,14380,376,38.2,39387,4406647
14d,3/29/19,Call of Duty: Black Ops 4,287360760,21222240,107439,1950,53264,14254,1052,13.54,121977,3688317
14d,3/29/19,Dead by Daylight,227683020,11032440,34871,1042,25537,11293,547,20.64,105621,3363931
14d,3/29/19,Tom Clancy's Rainbow Six: Siege,227621220,20560980,33337,1884,69603,11290,1019,11.07,163027,5293061
14d,3/29/19,Old School RuneScape,179740800,3258180,23573,255,6260,8915,161,55.17,72900,2481351
14d,3/29/19,Battlefield V,176929800,4887720,144098,1739,27501,8776,242,36.2,52142,4339203
14d,3/29/19,Music & Performing Arts,155575320,6540600,20933,448,8764,7717,324,23.79,162370,3323748
14d,3/29/19,Talk Shows & Podcasts,154707480,2015580,295875,271,7829,7673,99,76.76,75826,6930191
14d,3/29/19,Magic: The Gathering,152533200,2044140,89480,178,4752,7566,101,74.62,30215,3237393
14d,3/29/19,Special Events,145235400,454080,48781,73,1366,7204,22,319.85,36998,11613902
14d,3/29/19,Satisfactory,141572280,4961040,59800,1348,9862,7022,246,28.54,25752,2625507
14d,3/29/19,Minecraft,134079420,10394280,24769,1013,33399,6650,515,12.9,195677,2659707
14d,3/29/19,Poker,130274820,1713000,26349,203,2246,6462,84,76.05,36534,2848886
14d,3/29/19,StarCraft II,124424880,1861500,39476,157,3977,6171,92,66.84,21625,3238938
14d,3/29/19,Art,116949240,7467780,16904,593,17979,5801,370,15.66,80792,2360104
14d,3/29/19,Slots,113812560,996240,22510,93,1594,5645,49,114.24,13618,990584
14d,3/29/19,Super Smash Bros. Ultimate,103135140,3000660,34732,359,7858,5115,148,34.37,47229,1654489
14d,3/29/19,Rocket League,86009880,6864780,26964,640,34364,4266,340,12.53,57553,1859996
14d,3/29/19,Destiny 2,85888440,8406060,14549,814,18972,4260,416,10.22,34644,1138870
14d,3/29/19,FINAL FANTASY XIV Online,85252140,4107540,132239,522,7891,4228,203,20.76,25727,1918527
14d,3/29/19,World of Tanks,82358100,3094500,20075,343,5768,4085,153,26.61,17809,1738745
14d,3/29/19,Street Fighter V,79435080,816900,55515,83,2153,3940,40,97.24,9728,2545988
14d,3/29/19,ASMR,76306320,1052700,8833,73,847,3785,52,72.49,22614,821127
14d,3/29/19,Warcraft III: The Frozen Throne,73712460,1153620,34354,101,1698,3656,57,63.9,8076,1313869
14d,3/29/19,Sea of Thieves,72307140,4688700,28903,628,10345,3586,232,15.42,34281,1183149
14d,3/29/19,Black Desert Online,70550460,3626940,6876,264,5733,3499,179,19.45,22029,1553211
14d,3/29/19,Escape From Tarkov,69923760,4090680,13372,388,6191,3468,202,17.09,25110,1280528
14d,3/29/19,Rust,61396080,2835660,34709,268,6412,3045,140,21.65,29586,1061229
14d,3/29/19,NBA 2K19,54461040,6333540,8559,686,20429,2701,314,8.6,46597,471872
14d,3/29/19,Dungeons & Dragons,51503100,1169100,60261,212,2982,2554,57,44.05,8926,1175810
14d,3/29/19,Heroes of the Storm,51331320,1950840,9515,184,3984,2546,96,26.31,7582,1236361
14d,3/29/19,Tibia,51010560,1957020,9958,165,2611,2530,97,26.07,30730,1644035
14d,3/29/19,Warframe,50308620,3765000,47990,323,8114,2495,186,13.36,24182,643300
14d,3/29/19,Smite,50136480,3392400,12159,316,8341,2486,168,14.78,17479,676218
14d,3/29/19,Games + Demos,49735140,1072440,21962,106,3772,2467,53,46.38,6380,1047273
14d,4/01/19,League of Legends,2804596560,52907940,348415,3857,105608,139116,2624,53.01,819949,59657784
14d,4/01/19,Fortnite,2588955600,219111720,392338,23473,539687,128420,10868,11.82,2546393,43956545
14d,4/01/19,Grand Theft Auto V,2380892520,17082780,296848,1593,40478,118099,847,139.37,1116077,34958890
14d,4/01/19,Just Chatting,1527359100,23870880,197778,1776,81980,75761,1184,63.98,879474,42163255
14d,4/01/19,Sekiro: Shadows Die Twice,1520369880,28216980,279037,4679,75937,75415,1399,53.88,225750,32589837
14d,4/01/19,Apex Legends,1313897760,87586980,303666,10439,227060,65173,4344,15,638424,27742457
14d,4/01/19,Dota 2,1242448260,13457040,357971,1294,26120,61629,667,92.33,234385,25903914
14d,4/01/19,Counter-Strike: Global Offensive,836216220,24681720,291062,2364,78791,41478,1224,33.88,435973,27376874
14d,4/01/19,PLAYERUNKNOWN'S BATTLEGROUNDS,581944860,22207920,93332,1730,43376,28866,1101,26.2,324261,17970251
14d,4/01/19,Overwatch,540262380,20892120,259090,1726,60810,26798,1036,25.86,189702,10727588
14d,4/01/19,Hearthstone,411920940,3590040,107496,274,9162,20432,178,114.74,70824,7763262
14d,4/01/19,World of Warcraft,392503920,18971460,83100,2499,31230,19469,941,20.69,101745,10575956
14d,4/01/19,FIFA 19,382563600,7109700,284352,902,25013,18976,352,53.81,181374,11978237
14d,4/01/19,Auto Chess,376040700,3917040,41428,294,7676,18652,194,96,62065,6197803
14d,4/01/19,Tom Clancy's The Division 2,313823460,23732280,55570,2705,57373,15566,1177,13.22,73713,7921225
14d,4/01/19,Magic: The Gathering,254627520,2094660,155987,178,4837,12630,103,121.56,38352,6061430
14d,4/01/19,Path of Exile,249071100,7139160,27952,598,11447,12354,354,34.89,34695,3965877
14d,4/01/19,Dead by Daylight,223740660,10930260,34674,1042,25394,11098,542,20.47,103697,3771521
14d,4/01/19,Tom Clancy's Rainbow Six: Siege,215786760,20058120,29977,1783,68395,10703,994,10.76,151216,5366526
14d,4/01/19,Call of Duty: Black Ops 4,208856280,21568620,50081,2102,54071,10359,1069,9.68,104723,2593070
14d,4/01/19,Battlefield V,208410780,6050460,144098,1739,31985,10337,300,34.45,63222,5023792
14d,4/01/19,Old School RuneScape,203235060,3238500,83930,255,6297,10081,160,62.76,87433,2940379
14d,4/01/19,Satisfactory,162128040,5857740,59800,1348,11051,8042,290,27.68,31357,3033180
14d,4/01/19,Talk Shows & Podcasts,161600160,2035980,295875,271,7824,8015,100,79.37,46166,7080594
14d,4/01/19,Special Events,159844560,465540,86771,73,1389,7928,23,343.35,42059,10909327
14d,4/01/19,Music & Performing Arts,154984680,6541560,14925,447,8837,7687,324,23.69,127195,3353920
14d,4/01/19,Minecraft,133652760,10416360,31581,1013,33375,6629,516,12.83,181255,2725919
14d,4/01/19,Poker,127928520,1711440,25020,209,2288,6345,84,74.75,36729,2778539
14d,4/01/19,StarCraft II,121460400,1845060,36018,144,3994,6024,91,65.83,20239,3373633
14d,4/01/19,Art,117290880,7466100,16904,593,17901,5818,370,15.71,75886,2508481
14d,4/01/19,Slots,111351480,1004820,23507,95,1600,5523,49,110.82,13854,948588
14d,4/01/19,Rocket League,98843580,6712980,37946,603,33875,4902,332,14.72,64263,2113611
14d,4/01/19,Super Smash Bros. Ultimate,98237880,2950680,34732,353,7679,4872,146,33.29,49991,2068686
14d,4/01/19,FINAL FANTASY XIV Online,86679960,4160460,132239,522,8027,4299,206,20.83,25975,1965820
14d,4/01/19,World of Tanks,82696260,3075660,20075,366,5894,4101,152,26.89,20339,1821913
14d,4/01/19,Destiny 2,81031020,8132340,9202,814,18444,4019,403,9.96,34829,1093089
14d,4/01/19,ASMR,77635860,1057740,8833,73,847,3850,52,73.4,23478,871930
14d,4/01/19,Outward,75929400,1212480,33927,253,3318,3766,60,62.62,13202,1403559
14d,4/01/19,Street Fighter V,73188360,819240,55515,83,2139,3630,40,89.34,9202,2147161
14d,4/01/19,Escape From Tarkov,70786680,4052040,17436,357,6113,3511,200,17.47,26816,1321746
14d,4/01/19,Black Desert Online,69454020,3581340,5846,264,5655,3445,177,19.39,26552,1626669
14d,4/01/19,Warcraft III: The Frozen Throne,67142820,1141980,10148,97,1644,3330,56,58.8,7271,1267778
14d,4/01/19,Risk of Rain 2,60180180,2455080,39442,871,9717,2985,121,24.51,7320,1003725
14d,4/01/19,Sea of Thieves,59125260,4044960,16531,459,9714,2932,200,14.62,22972,983982
14d,4/01/19,Mortal Kombat 11,57335280,508860,54538,201,2002,2844,25,112.67,21306,1133382
14d,4/01/19,Heroes of the Storm,56476080,2092980,13775,190,4198,2801,103,26.98,7997,1343791
14d,4/01/19,Rust,55846080,2768820,34709,268,6233,2770,137,20.17,28139,981376
14d,4/01/19,MLB The Show 19,53391000,728700,26978,326,4557,2648,36,73.27,22327,999834
14d,4/01/19,NBA 2K19,53229420,6392160,8538,686,20426,2640,317,8.33,49489,469447
14d,4/01/19,Tibia,51531120,1966860,5813,169,2625,2556,97,26.2,31011,1670256
14d,4/02/19,League of Legends,2782489260,52837140,348415,3857,105475,138020,2620,52.66,813110,58915628
14d,4/02/19,Fortnite,2602718100,218963880,392338,23473,539870,129103,10861,11.89,2555919,43896885
14d,4/02/19,Grand Theft Auto V,2381742420,17437320,296848,1593,40940,118141,864,136.59,1101414,34383177
14d,4/02/19,Sekiro: Shadows Die Twice,1573066440,29641860,279037,4679,78446,78029,1470,53.07,305186,33730530
14d,4/02/19,Just Chatting,1534497660,23913360,197778,1776,81930,76115,1186,64.17,954771,41853618
14d,4/02/19,Apex Legends,1301944560,86325240,303666,10439,224540,64580,4282,15.08,628814,27122753
14d,4/02/19,Dota 2,1223466180,13352940,357971,1294,25767,60687,662,91.63,239295,24733708
14d,4/02/19,Counter-Strike: Global Offensive,867185940,24579000,291062,2364,78529,43015,1219,35.28,437604,27454451
14d,4/02/19,PLAYERUNKNOWN'S BATTLEGROUNDS,578531280,22336860,93332,1730,43501,28696,1107,25.9,323340,17570147
14d,4/02/19,Overwatch,525329760,20895780,259090,1726,60754,26058,1036,25.14,187784,10281968
14d,4/02/19,Hearthstone,414008280,3605640,107496,274,9239,20536,178,114.82,70722,7695881
14d,4/02/19,World of Warcraft,392973780,18909000,83100,2499,31251,19492,937,20.78,101414,10478857
14d,4/02/19,FIFA 19,385592580,7112040,284352,902,24880,19126,352,54.22,181553,11966996
14d,4/02/19,Auto Chess,373473780,4003860,41428,331,7834,18525,198,93.28,60673,6061266
14d,4/02/19,Tom Clancy's The Division 2,275576460,22253280,55570,2705,55139,13669,1103,12.38,66295,6540598
14d,4/02/19,Magic: The Gathering,258189540,2133060,155987,180,4959,12807,105,121.04,39645,6149872
14d,4/02/19,Path of Exile,240611760,7050120,27952,598,11470,11935,349,34.13,33535,3780624
14d,4/02/19,Dead by Daylight,221076600,10878060,34674,1042,25382,10966,539,20.32,102807,3735988
